,feature,feature_importance
0,SANHOK_mid_moving_avg_90,5.001939256450629
1,MIRAMAR_mid_delta_7,4.495530068025564
2,SANHOK_mid_moving_avg_99,4.238970282119547
3,MIRAMAR_mid_moving_avg_99,4.004942640897909
4,MIRAMAR_mid_delta_6,3.3166154465773046
5,MIRAMAR_mid_moving_avg_90,3.152936725998485
6,"SANHOK_diff(SANHOK_ask1_price, SANHOK_mid)",3.0755193171563904
7,"SANHOK_diff(SANHOK_bid1_price, SANHOK_mid)",2.936339613715372
8,"SANHOK_diff(SANHOK_wap, SANHOK_mid)",2.3696889755051873
9,SANHOK_mid_delta_6,2.344864727178443
10,MIRAMAR_mid_delta_8,2.289325221308519
11,MIRAMAR_mid_delta_9,2.2413823220391498
12,"SANHOK_diff(SANHOK_bid2_price, SANHOK_mid)",2.2272745461402446
13,SANHOK_wap_delta_5,2.119258841035927
14,SANHOK_mid_delta_5,2.1175298501211244
15,"SANHOK_diff(SANHOK_ask2_price, SANHOK_mid)",2.012660226626043
16,"SANHOK_diff(SANHOK_ask0_price, SANHOK_mid)",1.7400568508418641
17,"SANHOK_diff(SANHOK_bid4_price, SANHOK_mid)",1.656368680244234
18,"SANHOK_diff(SANHOK_ask4_price, SANHOK_mid)",1.3561003105968257
19,SANHOK_ask1_qty,1.2979951087301664
20,SANHOK_bid1_qty,1.28331197450452
21,SANHOK_bid0_qty,1.17137785481843
22,SANHOK_ask0_qty,1.1280091956250438
23,SANHOK_ask4_qty,1.1140639664578869
24,SANHOK_ask2_qty,1.0905080782969316
25,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)",1.0863568194802662
26,SANHOK_wap_delta_6,1.0672938411975488
27,"SANHOK_diff(SANHOK_bid3_price, SANHOK_mid)",1.044181589303158
28,SANHOK_wap_delta_9,1.00714167643029
29,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_6",0.9959812429442974
30,MIRAMAR_bid1_qty,0.9564226129742006
31,"SANHOK_diff(SANHOK_ask3_price, SANHOK_mid)",0.9562008111867677
32,"SANHOK_diff(SANHOK_bid0_price, SANHOK_mid)",0.9086652200525082
33,MIRAMAR_ask1_qty,0.9037237331907768
34,"MIRAMAR_diff(MIRAMAR_ask1_price, MIRAMAR_mid)",0.888490308250289
35,MIRAMAR_ask4_qty,0.8686793815453685
36,MIRAMAR_bid4_qty,0.8540557368779821
37,SANHOK_ask3_qty,0.8374962449667495
38,SANHOK_mid_delta_9,0.8366209909541944
39,MIRAMAR_bid3_qty,0.8318281071115489
40,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_9",0.8131865012922713
41,MIRAMAR_ask3_qty,0.7711788686278508
42,MIRAMAR_bid0_qty,0.7710760718574977
43,SANHOK_bid2_qty,0.7582362792393184
44,MIRAMAR_ask0_qty,0.7559966616254524
45,SANHOK_mid_delta_7,0.7544102659811697
46,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_6",0.7383762554262391
47,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_5",0.7143948212031793
48,MIRAMAR_bid2_qty,0.7042368553908658
49,"MIRAMAR_diff(MIRAMAR_bid2_price, MIRAMAR_mid)",0.6938759442064912
50,"MIRAMAR_diff(MIRAMAR_bid1_price, MIRAMAR_mid)",0.6095738034662339
51,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_5",0.6004625487235887
52,"MIRAMAR_diff(MIRAMAR_bid3_price, MIRAMAR_mid)",0.5990481882246487
53,MIRAMAR_ask2_qty,0.5913246946735065
54,"MIRAMAR_diff(MIRAMAR_ask2_price, MIRAMAR_mid)",0.5875416783577719
55,MIRAMAR_wap_delta_7,0.5725408435192697
56,MIRAMAR_wap_delta_9,0.5716757156541546
57,SANHOK_wap_delta_4,0.5586297992244013
58,MIRAMAR_mid_moving_avg_50,0.5584453414729843
59,MIRAMAR_wap_delta_5,0.5457822073853367
60,"MIRAMAR_diff(MIRAMAR_ask4_price, MIRAMAR_mid)",0.5451455891007154
61,SANHOK_bid4_qty,0.5449114608659098
62,SANHOK_bid3_qty,0.5441487413887215
63,SANHOK_mid_delta_4,0.5411530406272212
64,SANHOK_wap_delta_7,0.5302374781942665
65,"MIRAMAR_diff(MIRAMAR_ask3_price, MIRAMAR_mid)",0.5129033602662779
66,"MIRAMAR_diff(MIRAMAR_bid4_price, MIRAMAR_mid)",0.5056539944922397
67,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_7",0.5027882614699672
68,MIRAMAR_wap_delta_1,0.4971902158327212
69,MIRAMAR_wap_delta_8,0.487237923548432
70,SANHOK_wap_delta_1,0.4800209582782815
71,MIRAMAR_wap_delta_6,0.4680375988935636
72,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_9",0.43910392604444787
73,MIRAMAR_mid_moving_avg_10,0.42121835841417654
74,MIRAMAR_mid_delta_5,0.38933249794922614
75,SANHOK_mid_delta_8,0.38402331862955885
76,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_1",0.3636894219730071
77,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_7",0.355195443416041
78,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_4",0.34157211953147526
79,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_8",0.3226915885972635
80,MIRAMAR_mid_delta_2,0.31456634990485627
81,SANHOK_wap_delta_8,0.2897713407177803
82,SANHOK_mid_moving_avg_50,0.26747253312680486
83,MIRAMAR_wap_delta_2,0.2591116855675114
84,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_8",0.25676555309993054
85,SANHOK_mid_delta_3,0.2445022773678338
86,SANHOK_wap_delta_3,0.24176553519311036
87,"MIRAMAR_diff(MIRAMAR_bid0_price, MIRAMAR_mid)",0.21471167695860124
88,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_4",0.20957093747549982
89,MIRAMAR_wap_delta_4,0.20928009026947997
90,SANHOK_mid_moving_avg_10,0.14520166212761787
91,"MIRAMAR_diff(MIRAMAR_ask0_price, MIRAMAR_mid)",0.1445310601756558
92,MIRAMAR_mid_delta_4,0.13153471654241944
93,MIRAMAR_mid_delta_1,0.12125516652229901
94,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_2",0.12090937765922537
95,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_3",0.10524443032197604
96,MIRAMAR_wap_delta_3,0.09837917250962058
97,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_1",0.09065214724544002
98,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_3",0.07375361585520114
99,SANHOK_wap_delta_2,0.05199035382737629
100,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_2",0.045061525043928345
101,MIRAMAR_mid_delta_3,0.04229733351619046
102,SANHOK_mid_delta_2,0.039019569718942625
103,SANHOK_mid_delta_1,0.01069484870924085
